time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-11-08T23:33:53.880Z,38.8131676,-122.7955017,1.93,0.84,md,7,89,0.005194,0.02,nc,nc73650535,2021-11-09T00:23:14.850Z,"5km NW of The Geysers, CA",earthquake,0.49,0.92,,1,automatic,nc,nc
2021-11-08T23:27:24.569Z,39.1447,-119.6955,8.9,1,ml,16,91.31,0.059,0.1795,nn,nn00827709,2021-11-09T01:16:32.085Z,"6 km ESE of Carson City, Nevada",earthquake,,1.5,0.33,5,reviewed,nn,nn
2021-11-08T23:23:22.690Z,36.1635017,-89.6853333,8.44,2.33,md,27,40,0.1465,0.24,nm,nm60362592,2021-11-09T01:29:53.420Z,"4 km SW of Caruthersville, Missouri",earthquake,0.52,1.55,0.31,18,reviewed,nm,nm
2021-11-08T23:20:29.980Z,17.9155,-66.7471,6,3.05,md,20,184,0.1899,0.19,pr,pr2021312005,2021-11-08T23:50:24.112Z,"9 km SSW of Tallaboa, Puerto Rico",earthquake,0.51,0.35,0.15,14,reviewed,pr,pr
2021-11-08T23:13:45.850Z,38.8318329,-122.8198318,1.18,0.88,md,19,71,0.01136,0.05,nc,nc73650530,2021-11-08T23:49:13.156Z,"8km NW of The Geysers, CA",earthquake,0.21,0.44,0.07,5,automatic,nc,nc
2021-11-08T23:11:38.641Z,39.6725,-120.4808,12.1,0.3,ml,6,169.07,0.151,0.1158,nn,nn00827708,2021-11-09T01:04:05.022Z,"3 km W of Calpine, California",earthquake,,3.4,0.46,3,reviewed,nn,nn
2021-11-08T23:11:38.050Z,38.8241653,-122.8043365,2.58,0.64,md,12,103,0.004547,0.01,nc,nc73650525,2021-11-08T23:37:13.033Z,"7km NW of The Geysers, CA",earthquake,0.33,0.83,0.1,2,automatic,nc,nc
2021-11-08T23:07:28.020Z,35.6706667,-117.5001667,9.31,1.53,ml,24,104,0.0895,0.18,ci,ci39852415,2021-11-08T23:11:09.204Z,"14km SW of Searles Valley, CA",earthquake,0.32,0.84,0.176,19,automatic,ci,ci
2021-11-08T23:05:23.678Z,38.1634,-117.851,7,0.6,ml,17,93.57,0.016,0.1555,nn,nn00827690,2021-11-09T00:20:42.795Z,"33 km SE of Mina, Nevada",earthquake,,0.8,0.37,7,reviewed,nn,nn
2021-11-08T22:57:32.640Z,36.5875,-116.7253333,3.6,2.01,ml,16,161,0.1636,0.18,ci,ci39852391,2021-11-09T00:30:59.078Z,"19km NE of Furnace Creek, CA",earthquake,0.32,1.09,0.189,15,reviewed,ci,ci
2021-11-08T22:57:24.970Z,38.8123322,-122.796669,1.63,0.9,md,20,61,0.004487,0.04,nc,nc73650520,2021-11-08T23:23:14.958Z,"5km NW of The Geysers, CA",earthquake,0.23,0.41,0.09,5,automatic,nc,nc
2021-11-08T22:42:37.148Z,61.9384,-149.9725,27.4,2.2,ml,,,,0.62,ak,ak021ecd0wbm,2021-11-08T23:07:43.109Z,"21 km N of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-08T22:42:30.200Z,19.224666595459,-155.409164428711,33.0400009155273,2.1400001,md,41,139,,0.119999997,hv,hv72788022,2021-11-08T22:45:32.430Z,"7 km ENE of Pāhala, Hawaii",earthquake,0.63,0.75999999,0.129999995,17,automatic,hv,hv
2021-11-08T22:40:11.286Z,59.2569,-151.2304,54.1,1.9,ml,,,,0.41,ak,ak021ecd0ew8,2021-11-08T23:07:42.987Z,"34 km SE of Seldovia, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-11-08T22:36:47.301Z,60.2246,-139.7367,5.1,1.6,ml,,,,0.49,ak,ak021ecczmt6,2021-11-08T23:07:42.862Z,"75 km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-08T22:36:39.670Z,19.2099990844727,-155.412994384766,33.060001373291,1.92999995,md,29,161,,0.129999995,hv,hv72788017,2021-11-08T22:39:49.210Z,"6 km E of Pāhala, Hawaii",earthquake,0.66,1.02999997,1.47000003,10,automatic,hv,hv
2021-11-08T22:32:25.990Z,19.2019996643066,-155.399002075195,32.3699989318848,2.22,ml,45,158,,0.119999997,hv,hv72788007,2021-11-08T22:37:57.140Z,"8 km E of Pāhala, Hawaii",earthquake,0.56,0.699999988,,3,automatic,hv,hv
2021-11-08T22:30:46.800Z,38.7574997,-122.7218323,1.75,0.88,md,11,115,0.004724,0.03,nc,nc73650515,2021-11-08T22:32:25.417Z,"3km SW of Anderson Springs, CA",earthquake,0.39,0.35,0.05,5,automatic,nc,nc
2021-11-08T22:24:57.786Z,39.4114,-120.1432,12.3,0.7,ml,11,107.96,0.1,0.2051,nn,nn00827696,2021-11-08T23:55:49.609Z,"9 km NNE of Truckee, California",earthquake,,2.2,0.42,4,reviewed,nn,nn
2021-11-08T22:22:25.677Z,61.5972,-149.7716,27.5,1.2,ml,,,,0.42,ak,ak021eccwl47,2021-11-08T23:07:42.738Z,"4 km SE of Houston, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-08T22:14:33.790Z,19.2061672210693,-155.406494140625,32.2599983215332,2.1,ml,44,154,,0.129999995,hv,hv72787987,2021-11-08T22:20:04.100Z,"7 km E of Pāhala, Hawaii",earthquake,0.51,0.800000012,4.13,8,automatic,hv,hv
2021-11-08T22:11:28.690Z,19.2108325958252,-155.411666870117,32.7400016784668,2.13,ml,49,147,,0.129999995,hv,hv72787982,2021-11-08T22:16:58.600Z,"7 km E of Pāhala, Hawaii",earthquake,0.53,0.610000014,3.68,6,automatic,hv,hv
2021-11-08T22:00:08.061Z,58.0779,-154.6825,41.8,0.5,ml,,,,0.43,ak,ak021eccru06,2021-11-08T22:07:26.703Z,"58 km NNW of Karluk, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-11-08T21:59:29.720Z,19.1986675262451,-155.420669555664,33.5,1.92999995,md,33,164,,0.119999997,hv,hv72787972,2021-11-08T22:02:41.940Z,"Island of Hawaii, Hawaii",earthquake,0.71,1.08000004,0.850000024,12,automatic,hv,hv
2021-11-08T21:42:08.240Z,19.1968326568604,-155.43733215332,33.0400009155273,1.82000005,md,31,234,,0.100000001,hv,hv72787947,2021-11-08T21:45:14.800Z,"4 km E of Pāhala, Hawaii",earthquake,0.87,1.10000002,0.600000024,3,automatic,hv,hv
2021-11-08T21:36:12.970Z,36.4760017,-121.055336,8.12,2.55,md,36,76,0.02079,0.11,nc,nc73650505,2021-11-09T00:40:05.528Z,"10km SE of Pinnacles, CA",earthquake,0.26,0.5,0.18,37,automatic,nc,nc
2021-11-08T21:19:29.530Z,35.6868333,-117.4808333,6.64,1.18,ml,25,104,0.1013,0.14,ci,ci39852335,2021-11-08T22:58:24.128Z,"11km SW of Searles Valley, CA",earthquake,0.27,0.7,0.076,12,reviewed,ci,ci
2021-11-08T21:19:25.695Z,60.4906,-143.1284,0.5,0.9,ml,,,,0.66,ak,ak021eccagjk,2021-11-09T00:27:13.142Z,"105 km S of McCarthy, Alaska",earthquake,,7.1,,,reviewed,ak,ak
2021-11-08T21:18:55.290Z,46.973,-122.209333333333,-0.47,1.24,ml,20,73,0.01531,0.16,uw,uw61795696,2021-11-09T01:18:12.980Z,"1 km SE of Kapowsin, Washington",explosion,0.56,31.61,0.0742493738504278,7,reviewed,uw,uw
2021-11-08T21:15:45.320Z,36.0461667,-117.8751667,2.83,0.47,ml,11,116,0.04029,0.08,ci,ci39852327,2021-11-08T22:24:54.257Z,"7km E of Coso Junction, CA",earthquake,0.26,0.98,0.194,3,reviewed,ci,ci
2021-11-08T21:05:27.010Z,31.67129056,-104.4007945,7.494091797,2.5,ml,15,69,0.08527386181,0.2,tx,tx2021vxvf,2021-11-08T22:07:11.040Z,"55 km S of Whites City, New Mexico",earthquake,1.114015665,1.6801296109999997,0.2,10,reviewed,tx,tx
2021-11-08T21:01:57.580Z,32.9075,-116.9431667,-0.17,1.58,ml,41,98,0.07226,0.23,ci,ci39852303,2021-11-08T21:58:04.737Z,"6km NNW of Lakeside, CA",quarry blast,0.43,31.61,0.172,28,reviewed,ci,ci
2021-11-08T20:59:13.872Z,61.1887,-149.1896,24.9,1.6,ml,,,,0.63,ak,ak021ecbxmhn,2021-11-08T21:17:51.657Z,"24 km ESE of Elmendorf Air Force Base, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-11-08T20:58:03.050Z,39.417,-110.2851667,-3.23,1.63,md,5,226,0.03173,0.12,uu,uu60467237,2021-11-08T22:01:00.930Z,"17 km SSE of Sunnyside, Utah",earthquake,2.82,3.45,0.171,5,reviewed,uu,uu
2021-11-08T20:48:05.420Z,39.4245,-110.2968333,-2.39,1.7,md,8,222,0.0219,0.1,uu,uu60467227,2021-11-08T21:42:30.520Z,"16 km SSE of Sunnyside, Utah",earthquake,1.38,2.28,0.177,7,reviewed,uu,uu
2021-11-08T20:42:51.780Z,48.4615,-121.474166666667,9.11,1.56,ml,13,134,0.03858,0.13,uw,uw61795671,2021-11-09T01:38:53.840Z,"Washington",earthquake,0.5,0.21,0.0240941154366501,4,reviewed,uw,uw
2021-11-08T20:30:27.720Z,38.7879982,-122.7611694,1.33,1.02,md,16,78,0.01266,0.06,nc,nc73650480,2021-11-08T20:53:15.010Z,"1km NNW of The Geysers, CA",earthquake,0.26,0.44,0.12,5,automatic,nc,nc
2021-11-08T20:18:35.482Z,61.6374,-150.4159,59.8,1.5,ml,,,,0.42,ak,ak021ecbovss,2021-11-08T20:23:20.665Z,"11 km NNE of Susitna, Alaska",earthquake,,1.1,,,automatic,ak,ak
2021-11-08T20:07:55.112Z,-0.2324,125.1272,54.15,4.6,mb,,64,2.451,0.98,us,us7000fsgi,2021-11-08T21:18:40.040Z,"Molucca Sea",earthquake,8.1,7.6,0.073,57,reviewed,us,us
2021-11-08T20:02:55.430Z,39.4286667,-110.33,-1.28,1.53,md,5,145,0.005933,0.13,uu,uu60467217,2021-11-08T23:43:37.020Z,"14 km SSE of Sunnyside, Utah",earthquake,1.62,0.77,0.189,3,reviewed,uu,uu
2021-11-08T19:54:29.910Z,38.831665,-122.8153305,3.31,0.85,md,12,88,0.009222,0.04,nc,nc73650465,2021-11-08T20:24:12.418Z,"8km NW of The Geysers, CA",earthquake,0.52,1.45,,1,automatic,nc,nc
2021-11-08T19:35:28.084Z,38.1025,93.7149,10,4.4,mb,,98,11.989,0.71,us,us7000fsgb,2021-11-08T21:30:43.040Z,"northern Qinghai, China",earthquake,12,1.9,0.109,24,reviewed,us,us
2021-11-08T19:25:27.498Z,60.0445,-153.0069,118.4,1.1,ml,,,,0.35,ak,ak021ecb4xk6,2021-11-08T19:30:04.602Z,"67 km ENE of Pedro Bay, Alaska",earthquake,,2,,,automatic,ak,ak
2021-11-08T19:18:13.727Z,38.1768,-117.7914,7.9,1.1,ml,13,83.04,0.062,0.097,nn,nn00827675,2021-11-08T20:41:53.641Z,"36 km SE of Mina, Nevada",earthquake,,1.2,0.29,7,reviewed,nn,nn
2021-11-08T19:17:53.200Z,17.9356,-66.925,8,3.03,md,17,190,0.1239,0.17,pr,pr2021312004,2021-11-08T21:11:33.688Z,"4 km SSW of Guánica, Puerto Rico",earthquake,0.49,1.01,0.16,10,reviewed,pr,pr
2021-11-08T19:00:09.488Z,60.6043,-147.9155,17.9,1.7,ml,,,,0.53,ak,ak021ecazjax,2021-11-08T19:19:13.125Z,"46 km ESE of Whittier, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-11-08T18:52:05.600Z,38.8434982,-122.8281631,2.88,0.37,md,7,148,0.007533,0.01,nc,nc73650455,2021-11-08T19:09:15.572Z,"9km WNW of Cobb, CA",earthquake,1.7,3.6,,1,automatic,nc,nc
2021-11-08T18:45:12.776Z,64.4049,-147.4394,0,1.8,ml,,,,0.61,ak,ak021ecanr61,2021-11-08T18:54:40.133Z,"29 km WSW of Salcha, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-11-08T18:43:36.010Z,32.8441667,-116.3608333,4.99,1.1,ml,43,54,0.1203,0.19,ci,ci39852167,2021-11-08T19:11:57.980Z,"16km E of Pine Valley, CA",earthquake,0.18,0.61,0.148,19,reviewed,ci,ci
2021-11-08T18:43:31.640Z,33.5925,-116.816,12.84,0.53,ml,15,105,0.04586,0.09,ci,ci37484901,2021-11-08T19:16:00.765Z,"14km WNW of Anza, CA",earthquake,0.21,0.46,0.318,3,reviewed,ci,ci
2021-11-08T18:23:19.110Z,18.2505,-67.8011,148,3.65,md,7,180,0.3487,0.21,pr,pr2021312003,2021-11-08T19:45:02.103Z,"59 km W of Rincón, Puerto Rico",earthquake,3.92,1.41,0.19,7,reviewed,pr,pr
2021-11-08T18:20:08.187Z,60.164,-149.8946,28.8,1.6,ml,,,,0.68,ak,ak021ecaidwy,2021-11-08T18:22:44.447Z,"25 km WNW of Seward, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-11-08T18:14:04.270Z,38.8175011,-122.8031693,3.07,0.76,md,25,68,0.007983,0.02,nc,nc73650450,2021-11-08T18:15:41.612Z,"6km NW of The Geysers, CA",earthquake,0.26,0.42,0.11,4,automatic,nc,nc
2021-11-08T17:57:35.801Z,62.8187,-151.1708,100,1.6,ml,,,,0.68,ak,ak021eca4x5m,2021-11-08T18:06:01.634Z,"41 km NNW of Petersville, Alaska",earthquake,,0.9,,,automatic,ak,ak
2021-11-08T17:57:19.668Z,38.4909,-119.4844,6.4,1.1,ml,20,93.53,0.004,0.0999,nn,nn00827669,2021-11-08T20:23:01.659Z,"2 km SSW of Walker, California",earthquake,,0.6,0.2,5,reviewed,nn,nn
2021-11-08T17:52:28.360Z,35.6755,-117.5266667,11.1,0.47,ml,7,151,0.1032,0.07,ci,ci39852127,2021-11-08T18:50:30.463Z,"15km ENE of Ridgecrest, CA",earthquake,0.92,0.73,0.047,2,reviewed,ci,ci
2021-11-08T17:45:44.987Z,13.1454,-89.178,71.53,4.5,mb,,149,0.57,1.12,us,us7000fsfp,2021-11-08T19:50:33.328Z,"41 km SSE of La Libertad, El Salvador",earthquake,7.2,7.4,0.052,109,reviewed,us,us
2021-11-08T17:44:38.785Z,61.7212,-151.9105,102.5,1.8,ml,,,,0.77,ak,ak021eca25va,2021-11-08T17:52:29.765Z,"40 km SW of Skwentna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-11-08T17:43:28.140Z,38.8404999,-122.8771667,2.67,1.67,md,34,70,0.00541,0.02,nc,nc73650435,2021-11-08T20:30:11.853Z,"13km NW of The Geysers, CA",earthquake,0.24,0.3,0.05,9,automatic,nc,nc
2021-11-08T17:43:21.946Z,37.8505,32.1712,10,5.1,mww,,26,1.315,0.46,us,us7000fsfm,2021-11-09T00:48:48.097Z,"Central Turkey",earthquake,5.1,1.9,0.053,34,reviewed,us,us
2021-11-08T17:37:51.040Z,52.3366666666667,-174.177166666667,2.39,0.33,ml,6,111,,0.28,av,av91410576,2021-11-09T01:52:22.470Z,"15 km N of Atka, Alaska",earthquake,0.62,1.38,0.253240279238279,6,reviewed,av,av
2021-11-08T17:35:39.100Z,33.4948333,-116.806,6.22,0.6,ml,24,38,0.09081,0.14,ci,ci39852095,2021-11-08T18:14:26.986Z,"8km NE of Aguanga, CA",earthquake,0.2,0.76,0.126,15,reviewed,ci,ci
